IS_match	flags	MANUAL_match	query_string	LH_match
floor	IS		Floor	
tissue	IS		Necroptic Tissue	
lung	IS		Trachea and lung	
brain	IS		brain tissue	
	LH		from 3rd passage in MDCK cells	cell
			gender:F; age:11	
			gender:F; age:36y	
nose	IS		gender:Female; Nose swab	
swab	IS		gender:M; age:18; Throat Swab	
NAS	LH/IS		gender:M; age:24; Nasal Wash	NA
OF	IS		human, gender: M, Fukuoka of Japan	
lung	IS		lung sample	
NAS	LH/IS		nasopharyngeal swab, B349	NA
			Atlantic salmon (Salmo salar)	
brain	LH/IS		Bird's brain	RD
ns	IS		Cheonsuman	
swab	LH/IS		Choanal Swab	NA
swab	IS		Claocal/Tracheal swab	
CLO	IS		Cloacal/Tracheal swab	
			Fluid, Amnionic-Allantoic	
			Layers	
swab	LH/IS		Midturbinate Swab	NA
			Muscovy duck	
NAS	LH/IS		Nasal swab + Anal swab	NA
CLO	IS		Oral/cloacal swab	
tissue	IS		Pancreatic tissue	
ns	IS		Pool of organs	
			The raw duck meat product illegally imported to Japan by flight passenger	
	LH		The raw poultry product illegally imported to Japan by international flight passenger	NA
tissue	LH/IS		Tissue Homogenate	NA
lung	IS		Trachea, lungs, bronchi	
			Virus Isolate	
			age:11M	
			age:13M	
			age:15M	
			age:1M	
			age:1y	
			age:20y	
			age:32Y	
			age:38y	
			age:3M	
			age:3m	
			age:43Y	
			age:45Y	
			age:5	
			age:52Y	
			age:56Y	
			age:57Y	
			age:58Y	
			age:60Y	
			age:6M	
			age:74y	
			age:83y	
			age:8M	
			age:9	
FEC	IS		age:Unknown; Fecal/environmental	
			age:adult	
	LH		beach sediment from shorebird migration stopover	RD
brain	IS		brain swab	
brain	LH/IS		brain tissue homogenate	NA
brain	IS		brain tissue suspension	
NAS	LH/IS		canine nasal swab	NA
NAS	LH/IS		canine's nasal swab	NA
			central nervous system	
cage	IS		chicken cage swab	
lung	IS		chicken lung and trachea	
			chicken manure	
CLO	IS		cloacal swab specimens	
lung	IS		dead tiger's lung samples	
brain	IS		duck brain	
	LH		embryonated hen eggs	egg
swab	IS		environmental swab in poultry farm	
			facal samples	
FEC	IS		fecal environmental sample	
			female, blood fed, collected in marsh habitat	
CLO	IS		gender:F; Cloacal swab	
			gender:F; age:10m	
			gender:F; age:10y	
			gender:F; age:11M	
			gender:F; age:12 Y	
			gender:F; age:17Y	
			gender:F; age:21 Y	
			gender:F; age:22 Y	
			gender:F; age:24 Y	
			gender:F; age:24Y	
			gender:F; age:25Y	
			gender:F; age:27Y	
			gender:F; age:28y	
NAS	LH/IS		gender:F; age:29; Nasal Swab	NA
			gender:F; age:2M	
			gender:F; age:31y	
			gender:F; age:34 Y	
			gender:F; age:34Y	
			gender:F; age:35y	
			gender:F; age:36Y	
swab	IS		gender:F; age:37; Throat Swab	
			gender:F; age:38 Y	
			gender:F; age:40Y	
			gender:F; age:40y	
			gender:F; age:41Y	
			gender:F; age:42 Y	
			gender:F; age:44 Y	
			gender:F; age:46 Y	
			gender:F; age:46Y	
			gender:F; age:48y	
			gender:F; age:49 Y	
			gender:F; age:50Y	
			gender:F; age:50y	
			gender:F; age:53 Y	
			gender:F; age:55 Y	
			gender:F; age:61Y	
			gender:F; age:62y	
			gender:F; age:64y	
			gender:F; age:65 Y	
			gender:F; age:67Y	
			gender:F; age:67y	
			gender:F; age:68y	
			gender:F; age:69Y	
			gender:F; age:69y	
			gender:F; age:75 Y	
			gender:F; age:76Y	
			gender:F; age:77Y	
			gender:F; age:78Y	
			gender:F; age:81Y	
			gender:F; age:86Y	
			gender:F; age:88Y	
			gender:F; age:8M	
			gender:F; age:94Y	
			gender:F; age:97y	
			gender:F; age:99y	
			gender:F; age:9y	
intestine	IS		gender:F; age:Adult; intestine	
			gender:F; age:After Hatch Year	
CLO	IS		gender:F; age:After Hatch Year; Cloacal swab	
CLO	IS		gender:F; age:After hatch year; Cloacal swab	
			gender:F; age:mature	
nose	IS		gender:Female; age:14; Nose swab	
swab	IS		gender:M; Throat Swab	
			gender:M; age:10m	
			gender:M; age:11m	
			gender:M; age:11y	
			gender:M; age:14; Pleural Fluid	
			gender:M; age:14M	
			gender:M; age:16 Y	
			gender:M; age:17y	
			gender:M; age:19Y	
swab	IS		gender:M; age:20; Throat Swab	
			gender:M; age:21Y	
swab	IS		gender:M; age:25; Throat Swab	
			gender:M; age:26Y	
			gender:M; age:3.5 Y	
			gender:M; age:31 Y	
			gender:M; age:35y	
			gender:M; age:36 Y	
			gender:M; age:39 Y	
wash	IS		gender:M; age:39; ETT Wash	
			gender:M; age:40 Y	
			gender:M; age:42y	
			gender:M; age:43 Y	
			gender:M; age:44 Y	
			gender:M; age:44Y	
			gender:M; age:44y	
			gender:M; age:45 Y	
			gender:M; age:46 Y	
			gender:M; age:46Y	
			gender:M; age:46y	
			gender:M; age:47 Y	
			gender:M; age:47y	
			gender:M; age:48y	
			gender:M; age:49y	
swab	IS		gender:M; age:4; Throat Swab	
			gender:M; age:4M	
			gender:M; age:5 M	
			gender:M; age:53 Y	
			gender:M; age:55y	
			gender:M; age:56 Y	
			gender:M; age:57y	
			gender:M; age:58Y	
			gender:M; age:59 Y	
			gender:M; age:60Y	
			gender:M; age:61y	
			gender:M; age:68y	
			gender:M; age:70Y	
			gender:M; age:71Y	
			gender:M; age:71y	
			gender:M; age:73Y	
			gender:M; age:74y	
			gender:M; age:75Y	
			gender:M; age:77y	
			gender:M; age:7M	
			gender:M; age:81Y	
			gender:M; age:82y	
			gender:M; age:84 Y	
			gender:M; age:85Y	
			gender:M; age:85y	
			gender:M; age:86y	
			gender:M; age:87y	
			gender:M; age:88Y	
			gender:M; age:91y	
CLO	IS		gender:M; age:After hatch year; Cloacal swab	
			gender:M; age:mature	
OF	IS		human, gender: F, Fukuoka of Japan	
			laboratory	
liver	IS		liver and lung of chicken	
lung	IS		lung and spleen tissues	
lung	LH/IS		lung homogenate	NA
oral	IS		mink oral swab	
ns	IS		mixed organs	
NAS	LH/IS		nasal-swba	NA
NAS	LH/IS		nasopharyngeal swab, A419	NA
NAS	LH/IS		nasopharyngeal swab, B207	B2
NAS	LH/IS		nasopharyngeal swab, B348	NA
NAS	LH/IS		nasopharyngeal swab, B349, virosis	NA
NAS	LH/IS		nasopharyngeal swab, R509, fever-virosis	NA
nose	IS		nose swab	
CLO	IS		oral/cloacal swab pool	
CLO	IS		oral; cloacal	
pharyngeal	IS		oropharyngeal swab pool from individual pig	
			pancreas	
lung	IS		pool of lung and trachea tissue	
market	IS		poultry drinking water at live poultry market	
			poultry feed	
floor	IS		samples from drinking water and wet floor	
stool	IS		stool swab	
swab	IS		swab; pooled sample	
tissue	IS		tissue pool	
CLO	IS		tracheal and cloacal swab	
NAS	LH/IS		Combination of nasopharyngeal swab and oropharyngeal swab	NA
lung	IS		FFPE of autopsy lung tissue	
NAS	LH/IS		Nasal/Throat swab	NA
			RCS	
NAS	LH/IS		gender:F; age:13; nasopharyngeal swab	NA
NAS	LH/IS		gender:F; age:1; Nasal Swab	NA
NAS	LH/IS		gender:F; age:1; nasopharyngeal swab	NA
			gender:F; age:20	
NAS	LH/IS		gender:M; age:10; nasopharyngeal swab	NA
			gender:M; age:18	
NAS	LH/IS		gender:M; age:21; Nasal Wash	NA
OF	IS		human, gender: F, Niigata of Japan	
NAS	LH/IS		nasal swab from patient with acute respiratory distress syndrome	NA
swab	IS		pooled swab	
cage	LH/IS		water and feces from cage containing duck	ece
brain	IS		Brain	
	LH		MDCK cell	cell
NAS	LH/IS		Nasal and throat swab	NA
	LH		allantoic fluid from embryonating chicken eggs	egg
NAS	LH/IS		gender:F; age:5; nasopharyngeal swab	NA
NAS	LH/IS		gender:F; nasopharyngeal	NA
NAS	LH/IS		gender:M; age:19; Nasal Wash	NA
			gender:M; age:21	
			gender:M; age:27	
OF	LH/IS		human, gender: F, Nagasaki of Japan	NA
OF	IS		human, gender: M, Yamagata of Japan	
NAS	LH/IS		nasopharyngeal and oropharyngeal swabs	NA
			oropharngeal	
brain	IS		Brain, Trachea	
cage	IS		Cage swab	
CLO	IS		Cloacal and Oropharyngeal	
NAS	LH/IS		Nasal swabs	NA
swab	IS		bronchial swab	
FEC	LH/IS		chicken feces	ece
throat	IS		day 10 throat	
			gender:F; age:40	
NAS	LH/IS		gender:M; Nasal Wash	NA
			gender:M; age:20	
			gender:M; age:23	
NAS	LH/IS		gender:M; age:5; nasopharyngeal swab	NA
			gender:Male; age:21	
OF	LH/IS		human, gender: M, Nagasaki of Japan	NA
			lake sediment	
NAS	LH/IS		nasopharyngeal exsudate	NA
			post tmt +5 day	
FEC	LH/IS		Bird feces	ece
ns	IS		NS / TS	
			avian	
TRAC	IS		chicken trachea	
	LH		from unknown passage in MDCK cells	cell
NAS	LH/IS		gender:F; age:10; Nasal Swab	NA
NAS	LH/IS		gender:F; age:20; Nasal Wash	NA
			gender:F; age:24	
NAS	LH/IS		gender:F; age:26; Nasal Swab	NA
NAS	LH/IS		gender:F; age:3; nasopharyngeal swab	NA
NAS	LH/IS		gender:M; age:11; nasopharyngeal swab	NA
NAS	LH/IS		gender:M; age:26; nasopharyngeal swab	NA
NAS	LH/IS		gender:M; age:30; Nasal Swab	NA
swab	IS		gender:M; age:39; Throat Swab	
NAS	LH/IS		gender:M; age:7; nasopharyngeal swab	NA
			gender:M; age:8 M	
			gender:Male; age:16	
cage	IS		ground near chicken cage	
			isolate, pooled uw	
			mosquito pool	
			mosquitoes pool	
NAS	LH/IS		nasal-pharingeal swab	NA
	LH		passage 12 in canine MDCK cells	cell
	LH		passage 12 in human CACO-2 cells	cell
OF	IS		pool of 25 nymphs	
ns	LH/IS		pool organs_ECE1	ece
swab	IS		throat swabs	
swab	IS		trachea swab	
CLO	IS		tracheal/cloacal swab	
pharyngeal	LH/IS		Individual bird swab, oropharyngeal	RD
FEC	IS		Influenza infected lung	
NAS	LH/IS		Nasopharyngeal wash	NA
tissue	IS		Necroptic Tissue Sample	
swab	IS		Swabs	
swab	IS		Tracheal_swab	
CLO	IS		cloacal swab/oropharyngeal swab	
NAS	LH/IS		combination nasal/throat swab	NA
NAS	LH/IS		gender:F; age:12; nasopharyngeal swab	NA
			gender:F; age:16	
			gender:F; age:28	
NAS	LH/IS		gender:F; age:28; nasopharyngeal swab	NA
			gender:F; age:37	
NAS	LH/IS		gender:F; age:37; Nasal Swab	NA
NAS	LH/IS		gender:M; age:10; Nasal Swab	NA
			gender:M; age:12	
NP	IS		gender:M; age:20; NP Swab	
NAS	LH/IS		gender:M; age:23; Nasal Wash	NA
NAS	LH/IS		gender:M; age:26; Nasal Wash	NA
NAS	LH/IS		gender:M; age:30; Nasal Wash	NA
NAS	LH/IS		gender:M; age:33; nasopharyngeal swab	NA
NAS	LH/IS		gender:M; age:8; Nasal Swab	NA
NAS	LH/IS		gender:M; nasopharyngeal swab	NA
lung	IS		lung specimen	
NAS	LH/IS		nasopharyngeal swab, J101	NA
ns	IS		pooled organ suspension	
TRAC	IS		tracheal secretion	
			Diagnosis	
NAS	LH/IS		Nasal/Throat Swab	NA
pharyngeal	IS		Oro-pharyngeal swab	
CLO	IS		Oropharyngeal-Cloacal swab	
			TS	
			age:12	
			age:15	
			age:46	
			age:52	
swab	IS		conjunctiva swab	
	LH		epithelial cells	cell
			ex Picea	
			gender:F; age:13	
NAS	LH/IS		gender:M; Nasal Swab	NA
			gender:M; age:39	
			gender:M; age:56	
NAS	LH/IS		gender:M; age:6; nasopharyngeal swab	NA
			gill	
OF	IS		human, gender: M, Niigata of Japan	
	LH		human, gender:M Vietnam	NA
liver	IS		liver and gill tissue	
liver	IS		lung-liver-spleen	
NAS	LH/IS		nasopharyngeal swab, J069	NA
swab	IS		oropharengeal swabs	
tissue	IS		pooled tissues	
			sporadic case	
swab	LH/IS		tracheal swab_ECE1	ece
water	IS		Dongting Lake water	
liver	LH/IS		Liver, nasal swab	NA
NAS	LH/IS		Nasal/Oropharyngeal Swab	NA
swab	IS		Swab in LBM	
lung	IS		Trachea,lung,spleen	
			Viral culture	
sediments	IS		Wetland sediments	
			age:79y	
FEC	IS		avian fecal swab in filtered wetland water for 0 days prior to isolation	
CLO	LH/IS		cloaca and nasal swab	NA
CLO	IS		cloacal and tracheal swabs	
FEC	IS		fecal material	
	LH		from 4th passage in MDCK cells	cell
NAS	LH/IS		gender:F; age:22; Nasal Swab	NA
NAS	LH/IS		gender:F; age:23; Nasal Wash	NA
			gender:F; age:41	
			gender:F; age:49	
NAS	LH/IS		gender:F; age:56; nasopharyngeal swab	NA
NAS	LH/IS		gender:F; age:6; nasopharyngeal swab	NA
NAS	LH/IS		gender:M; age:23; Nasal Swab	NA
NAS	LH/IS		gender:M; age:25; Nasal Wash	NA
NP	IS		gender:M; age:28; NP Swab	
lung	IS		gender:M; age:33; Autopsy lung	
NAS	LH/IS		gender:M; age:38; Nasal Wash	NA
NAS	LH/IS		gender:M; age:3; nasopharyngeal swab	NA
			gender:M; age:58	
market	LH/IS		live bird market swab	RD
market	LH/IS		live bird market table display	RD
liver	IS		liver tissue	
	MANUAL	mouse	mouse-adapted escape mutant	
water	IS		municipal drinking water	
NAS	LH/IS		nasopharyngeal swab, J189	NA
NAS	LH/IS		nasopharyngeal/pharyngeal sample	NA
	LH		passage 5 in MDCK cell	cell
	LH		synthetic DNA	NA
			1 year old female	
			9/27/21	
			ASP	
ns	IS		Anser indicus	
BAL	IS		BALBc_lung	
	LH		Backyard	RD
intestine	LH/IS		Bird's Intestine	RD
BAL	IS		Bronchoalveolar lavage (BAL)	
swab	IS		CL swab; pooled sample	
	LH		Cell Line	cell
air	IS		Classroom air	
CLO	IS		Combined cloacal and fecal	
CLO	IS		Conjunctival and cloacal swabs	
swab	IS		Conjunctival swab	
CLO	IS		Conjunctival, tracheal, and cloacal swabs	
			Conjuntival swap	
	LH		Egg P2	egg
swab	IS		Environment swab	
swab	IS		Environmental swab samples in poultry farm	
tissue	IS		Esophageal tissue biopsy	
FEC	IS		Fecal Samples	
FEC	IS		Fecal Swab	
FEC	IS		Fecal Swabs	
FEC	IS		Fecal dropping	
FEC	IS		Fecal droppings	
FEC	IS		Fecal material	
FEC	IS		Fecal/environmental	
aerosol	IS		Fine Aerosol Wash	
			Foetus	
wash	IS		Hand-wash water	
NAS	LH/IS		Human Nasal and Throat Swab	NA
NP	IS		INP	
			Khunt lake	
ORP	IS		LUN, TFB, and ORP all same	
intestine	IS		Large Intestine	
TRAC	IS		Laryngeal trachea	
liver	IS		Liver	
TRAC	IS		Lower respiratory tract aspirate	
	LH		MDCK cell culture supernatant at passage 2	cell
NAS	LH/IS		Nasa pharangal swab	NA
NAS	LH/IS		Nasal Pharangal swab	NA
NAS	LH/IS		Nasal and Udder Wipe	NA
NAS	LH/IS		Nasal swab from swine	NA
NAS	LH/IS		Nasal, ocular and tonsil swab	NA
NAS	LH/IS		Nasopharingeal Swab	NA
	LH		Nucleic Acid (RNA, DNA)	NA
oral	IS		OTH-ORAL FLUIDS	
			OTH-environmental	
cage	IS		OTH-water from quail cage	
			OTHER	
oral	IS		Oral Fluids	
organ	IS		Organ (spleen)	
pharyngeal	IS		Oropharyngeal	
CLO	IS		Oropharyngeal and cloacal swab	
			PEI	
			PHAR	
			PHARSW	
			PM material	
CLO	IS		Pooled sample of tracheal and cloacal swabs	
			Raw-meat tray	
			Reverse Genetics	
			Rhinopharynx	
			Seller's hands	
market	IS		Sewage swab of live poultry market	
	LH		Single plaque produced in MDCK cells	cell
stool	IS		Stool	
TRAC	IS		TRACH_ASP_SECR	
swab	IS		Trachea Swab	
ns	IS		Trachea, Cecal tonsil	
lung	IS		Trachea/alantoid fluid/lung/spleen	
lung	LH/IS		Trachea/lung Allantoid fluid from SPF embryo chicken	spf
TRAC	IS		Tracheal	
CLO	IS		Tracheal and cloacal swab pool	
tissue	LH/IS		Tracheal tissue from dead bird	RD
water	IS		Waste water	
	LH		Wild bird	RD
FEC	IS		a fecal sample	
			age:10M	
			age:10wk	
			age:10y	
			age:11y	
			age:13y	
			age:14 wks	
			age:14m	
			age:14y	
			age:16	
			age:17y	
			age:18M	
			age:19M	
			age:20M	
			age:21M	
			age:21Y	
			age:21y	
			age:22y	
			age:23y	
			age:25	
			age:26	
			age:29.4Y	
			age:2m	
			age:2y	
			age:30.5Y	
			age:30Y	
			age:30y	
			age:31Y	
			age:35	
			age:36	
			age:36Y	
			age:37Y	
			age:39y	
			age:3y	
NAS	LH/IS		age:40 days; Nasal Swab	NA
			age:40Y	
			age:41Y	
			age:42Y	
			age:43	
			age:44y	
			age:46Y	
			age:5-6 wks	
			age:50 Y	
			age:51	
			age:51Y	
			age:53.3Y	
			age:54Y	
			age:55Y	
			age:56	
			age:58	
			age:6 wks	
			age:61Y	
			age:65Y	
			age:66	
			age:66Y	
			age:68Y	
			age:71 Y	
			age:72Y	
			age:76y	
			age:7M	
			age:8	
			age:8.4Y	
			age:80y	
			age:87y	
			age:8m	
			age:91y	
			age:9M	
TRAC	IS		age:Adult; trachea	
CLO	IS		age:Hatch Year; Cloacal swab	
			age:I	
			age:Mature	
			age:young	
air	IS		air in a swine barn	
CLO	LH/IS		allantoic fluid derived from a cloacal swab, 1st passage	passage
CLO	IS		allantoic fluid derived from cloacal swab no. 11	
CLO	IS		allantoic fluid derived from cloacal swab no.18	
CLO	IS		allantoic fluid derived from cloacal swab no.29	
swab	IS		allantoic fluid derived from the tracheal swab no. 17, primocultivation	
OF	LH/IS		allantoic fluid of an inoculated SPF egg	egg
			allontoic fluid	
OF	LH/IS		allontoic fluid of ECE	ece
lung	IS		aspirate from right lung	
lung	LH/IS		autopsy material; lung whole cell-tissue lysate	cell
			autopsy, J96	
			blood	
OF	IS		blood of a 24-year-old man	
OF	IS		body surface of dead rat	
			bronchus autopsy material	
swab	IS		buccal swab	
cage	IS		cage swabs	
carcass	IS		carcass wash water	
			cecum	
	LH		cell culture	cell
	LH		cell culture from fatal case	cell
	LH		cerebrospinal fluid	NA
brain	IS		chicken brain	
cage	LH/IS		chicken cage water trough in live bird market	RD
swab	IS		chicken feeder's swab	
liver	IS		chicken liver	
lung	IS		chicken lung	
lung	IS		chicken's lung	
swab	LH/IS		choanal swab	NA
swab	LH/IS		chopping board swabs	RD
air	IS		classrom air	
air	IS		classroom air and environmental surfaces	
CLO	IS		cloacae	
CLO	IS		cloacal swab no.1	
CLO	IS		cloacal swab no.12	
CLO	IS		cloacal swab no.23	
CLO	IS		cloacal swab no.25	
CLO	IS		cloacal swab no.9; allantoic fluid	
CLO	IS		cloacal swab pool; EP1	
CLO	IS		cloacal swab; allantoic fluid	
CLO	IS		cloacal swab; pooled sample	
CLO	IS		clocal and fecal swab	
tissue	IS		colon tissue	
			conjunctiva	
swab	IS		conjunctival swab	
lung	IS		dead tiger's lung sample	
water	IS		drinkwater	
cage	IS		duck cage	
lung	IS		duck lung	
			duck neck	
TRAC	IS		duck trachea	
	LH		embyonated chicken eggs	egg
			enviorment	
			environmental	
FEC	IS		environmental fecal swab	
FEC	IS		fecal specimen	
dust	IS		female, blood fed, collected in industrial (waste water treatment plant) habitat	
lung	LH/IS		first egg passage of isolate from Pool lung-trachea	egg
floor	IS		floors swab in chicken farm	
			food supply surface	
lung	IS		formalin-fixed paraffin-embedded (FFPE) autopsy lung tissue	
swab	IS		gender:F; Throat Swab	
			gender:F; age:103y	
			gender:F; age:106y	
			gender:F; age:10; Pleural Fluid	
swab	IS		gender:F; age:10; Throat Swab	
			gender:F; age:11m	
			gender:F; age:12M	
			gender:F; age:13; Pleural Fluid	
			gender:F; age:14.0Y	
swab	IS		gender:F; age:16; Throat Swab	
			gender:F; age:17 M	
swab	IS		gender:F; age:17; Throat Swab	
			gender:F; age:18	
			gender:F; age:18M	
			gender:F; age:19	
			gender:F; age:19Y	
wash	IS		gender:F; age:1; ETT washed	
swab	IS		gender:F; age:1; Throat Swab	
			gender:F; age:1D	
			gender:F; age:2.5 Y	
NAS	LH/IS		gender:F; age:21; Nasal Wash	NA
swab	IS		gender:F; age:22; Throat Swab	
			gender:F; age:22Y	
			gender:F; age:23d	
NAS	LH/IS		gender:F; age:25; nasopharyngeal swab	NA
			gender:F; age:26 Y	
wash	IS		gender:F; age:26; SuctionTube Wash	
			gender:F; age:26Y	
			gender:F; age:27 Y	
wash	IS		gender:F; age:27; ETT Wash	
			gender:F; age:28 Y	
			gender:F; age:3.5 Y	
			gender:F; age:30 Y	
			gender:F; age:31 M	
			gender:F; age:31 Y	
			gender:F; age:31Y	
			gender:F; age:32	
			gender:F; age:32 Y	
			gender:F; age:35.5Y	
wash	IS		gender:F; age:35; ETT Wash	
			gender:F; age:35; Pleural Fluid	
swab	IS		gender:F; age:35; Throat Swab	
			gender:F; age:37Y	
			gender:F; age:38Y	
			gender:F; age:39 Y	
wash	IS		gender:F; age:3; ETT Wash	
			gender:F; age:3m	
			gender:F; age:41y	
			gender:F; age:42Y	
			gender:F; age:42y	
			gender:F; age:44Y	
			gender:F; age:44y	
			gender:F; age:45 Y	
			gender:F; age:45Y	
			gender:F; age:46.6Y	
			gender:F; age:47 Y	
			gender:F; age:47Y	
			gender:F; age:48Y	
lung	IS		gender:F; age:4; Lung tissue	
swab	IS		gender:F; age:4; Throat swab	
bronchiole	IS		gender:F; age:4; bronchiole swab	
swab	IS		gender:F; age:4; bronchus swab	
NAS	LH/IS		gender:F; age:4; nasopharyngeal swab	NA
swab	IS		gender:F; age:4; trachea swab	
			gender:F; age:4M	
			gender:F; age:52 Y	
			gender:F; age:52y	
			gender:F; age:55Y	
			gender:F; age:55y	
			gender:F; age:56 Y	
			gender:F; age:56y	
			gender:F; age:57 Y	
			gender:F; age:57Y	
			gender:F; age:57y	
			gender:F; age:59 Y	
			gender:F; age:59Y	
			gender:F; age:59y	
			gender:F; age:5M	
			gender:F; age:60Y	
			gender:F; age:61	
			gender:F; age:62 Y	
			gender:F; age:64 Y	
			gender:F; age:65y	
			gender:F; age:66y	
			gender:F; age:67 Y	
			gender:F; age:69 Y	
NAS	LH/IS		gender:F; age:6; Nasal Wash	NA
nose	IS		gender:F; age:6; Nose swab	
			gender:F; age:7 M	
			gender:F; age:72 Y	
			gender:F; age:73Y	
			gender:F; age:79Y	
nose	IS		gender:F; age:7; Nose swab	
			gender:F; age:7M	
			gender:F; age:8.2Y	
			gender:F; age:80Y	
			gender:F; age:81 Y	
			gender:F; age:82 Y	
			gender:F; age:82Y	
			gender:F; age:84Y	
			gender:F; age:85Y	
			gender:F; age:86 Y	
			gender:F; age:87 Y	
			gender:F; age:9.1Y	
			gender:F; age:90Y	
			gender:F; age:91Y	
			gender:F; age:93Y	
			gender:F; age:95 Y	
			gender:F; age:9m	
spleen	IS		gender:F; age:Adult; spleen	
oral	IS		gender:F; age:Hatch Year; Oral-pharyngeal	
swab	IS		gender:F; age:adult; tracheal swab	
throat	IS		gender:Female; Throat	
			gender:Female; age:11y	
throat	IS		gender:Female; age:17; Throat	
swab	IS		gender:Female; age:21; throat swab	
nose	IS		gender:Female; age:40; Nose swab	
CLO	IS		gender:M; Cloacal swab	
			gender:M; age:1 Day	
			gender:M; age:100Y	
swab	IS		gender:M; age:10; Throat Swab	
			gender:M; age:10M	
			gender:M; age:11M	
			gender:M; age:12 M	
wash	IS		gender:M; age:12; ETT Wash	
swab	IS		gender:M; age:12; Throat Swab	
			gender:M; age:13 M	
			gender:M; age:14.9Y	
swab	IS		gender:M; age:14; Rectal Swab	
			gender:M; age:14Y	
			gender:M; age:14y	
NAS	LH/IS		gender:M; age:15; Nasal Swab	NA
			gender:M; age:15M	
			gender:M; age:15Y	
swab	IS		gender:M; age:16; Throat Swab	
			gender:M; age:16m	
			gender:M; age:17 Y	
			gender:M; age:18 M	
			gender:M; age:18 Y	
wash	IS		gender:M; age:18; ETT Wash	
			gender:M; age:19; Pleural Fluid	
			gender:M; age:19m	
NAS	LH/IS		gender:M; age:1; nasopharyngeal swab	NA
swab	IS		gender:M; age:2.5; Throat Swab	
			gender:M; age:2.5Y	
			gender:M; age:20 Y	
			gender:M; age:21 Y	
			gender:M; age:21M	
NAS	LH/IS		gender:M; age:22; Nasal Wash	NA
wash	IS		gender:M; age:23; ETT wash	
			gender:M; age:25Y	
			gender:M; age:25y	
			gender:M; age:26D	
			gender:M; age:27 Y	
NAS	LH/IS		gender:M; age:28; Nasal Wash	NA
			gender:M; age:29y	
			gender:M; age:2M	
			gender:M; age:30Y	
lung	IS		gender:M; age:32; Lung Aspirate	
swab	IS		gender:M; age:32; Throat Swab	
NAS	LH/IS		gender:M; age:33; Nasal Swab	NA
			gender:M; age:34y	
			gender:M; age:35 M	
			gender:M; age:35 Y	
NAS	LH/IS		gender:M; age:35; Nasal Wash	NA
			gender:M; age:35Y	
			gender:M; age:36Y	
			gender:M; age:37Y	
			gender:M; age:38 Y	
			gender:M; age:38Y	
			gender:M; age:39Y	
			gender:M; age:3M	
			gender:M; age:3w	
			gender:M; age:41 Y	
			gender:M; age:41Y	
			gender:M; age:42 Y	
			gender:M; age:44	
			gender:M; age:45Y	
			gender:M; age:47Y	
			gender:M; age:48Y	
			gender:M; age:51 Y	
			gender:M; age:52Y	
			gender:M; age:53	
			gender:M; age:53Y	
			gender:M; age:54Y	
			gender:M; age:54y	
			gender:M; age:58 Y	
nose	IS		gender:M; age:5; Nose swab	
			gender:M; age:6.3Y	
bronchoalveolar	IS		gender:M; age:62; bronchoalveolar lavage	
			gender:M; age:63 Y	
			gender:M; age:64Y	
			gender:M; age:64y	
			gender:M; age:65 Y	
			gender:M; age:66 Y	
			gender:M; age:69y	
			gender:M; age:6M	
			gender:M; age:7 M	
			gender:M; age:70 Y	
			gender:M; age:73 Y	
			gender:M; age:74 Y	
			gender:M; age:74Y	
			gender:M; age:76 Y	
			gender:M; age:77Y	
			gender:M; age:79y	
NAS	LH/IS		gender:M; age:7; Nasal Swab	NA
			gender:M; age:87Y	
NAS	LH/IS		gender:M; age:8; nasopharyngeal swab	NA
			gender:M; age:8m	
			gender:M; age:90y	
			gender:M; age:96y	
			gender:M; age:97y	
wash	IS		gender:M; age:9; ETT Wash	
			gender:M; age:9M	
CLO	IS		gender:M; age:Hatch Year; Cloacal	
oral	IS		gender:M; age:Hatch Year; Oral-pharyngeal	
			gender:M; age:Juvenille	
			gender:M; age:adult	
lung	IS		gender:M; age:adult; post mortem lung specimen	
			gender:M; age:after hatch year	
swab	IS		gender:Male; age:10; Throat swab	
nose	IS		gender:Male; age:12; Nose swab	
swab	IS		gender:Male; age:12; Throat swab	
swab	IS		gender:Male; age:21; throat swab	
			gender:Male; age:22	
nose	IS		gender:Male; age:27; Nose swab	
			gender:Male; age:34	
			gender:Male; age:40	
nose	IS		gender:Male; age:41; Nose swab	
nose	IS		gender:Male; age:52; Nose swab	
			gills	
liver	IS		homogenized liver tissue	
			horse	
swab	IS		human swab	
CLO	LH/IS		hunting harvested mallard, allantoic fluid derived from cloacal swab no.24	RD
CLO	LH/IS		hunting harvested mallard, allantoic fluid derived from cloacal swab no.84	RD
CLO	LH/IS		hunting harvested mallard, allantoic fluid derived from the cloacal swab no.18	RD
CLO	LH/IS		hunting harvested mallards, allantoic fluid derived from the cloacal swab no.1	RD
CLO	LH/IS		hunting harvested mallards, allantoic fluid derived from the cloacal swab no.17, primocultivation	RD
CLO	LH/IS		hunting harvested mallards, allantoic fluid derived from the cloacal swab no.37	RD
TRAC	LH/IS		intestinal tract	NA
kidney	IS		kidney tissue sample	
water	IS		lagoon water	
			lgsw	
kidney	IS		liver and kidney	
liver	IS		liver and trachea	
kidney	IS		liver, spleen, kidney	
			lower bronchi	
lung	IS		lung and tracheal suspension	
lung	IS		lung autopsy material	
lung	IS		lung biopsy	
lung	IS		lung from autopsy	
lung	IS		lung necropsy	
lung	IS		lung swabs	
